target,seed,n,auroc
Q06124,44,30,0.7911111111111111
P30530,44,28,0.9621212121212122
Q9NYV4,44,28,0.695906432748538
P40337,44,26,0.71875
Q14004,44,26,0.6547619047619047
P06239,44,25,0.7280701754385965
P40763,44,24,0.19327731092436973
P24941,44,22,0.8761904761904762
P49840,44,22,0.8596491228070176
Q9Y2I7,44,21,0.32407407407407407
P33981,44,20,0.5900000000000001
Q08881,44,19,0.6285714285714286
Q93009,44,19,0.5512820512820513
P08581,44,17,1.0
P15170,44,17,0.36538461538461536
Q96SW2,44,17,0.23076923076923073
O60674,44,14,0.9375
Q9Y616,44,14,1.0
Q5S007,44,13,0.9166666666666666
O75530,44,12,0.4285714285714286
Q16539,44,12,0.9444444444444445
P11474,44,11,0.8214285714285714
O43924,44,10,0.8888888888888888
O60760,44,10,0.7619047619047619
